titleType,averageRating,numVotes,movie,tvMiniSeries,tvMovie,tvSeries
tvSeries,7.9,52588.0,0.0,0.0,0.0,1.0
tvSeries,7.0,26396.0,0.0,0.0,0.0,1.0
movie,6.6,4479.0,1.0,0.0,0.0,0.0
movie,8.3,3519.0,1.0,0.0,0.0,0.0
tvSeries,7.4,15315.0,0.0,0.0,0.0,1.0
movie,7.0,7661.0,1.0,0.0,0.0,0.0
tvSeries,7.8,7582.0,0.0,0.0,0.0,1.0
tvSeries,7.3,8764.0,0.0,0.0,0.0,1.0
tvSeries,8.5,8283.0,0.0,0.0,0.0,1.0
movie,6.6,3958.0,1.0,0.0,0.0,0.0
tvSeries,7.6,8475.0,0.0,0.0,0.0,1.0
tvSeries,7.1,19029.0,0.0,0.0,0.0,1.0
tvSeries,7.8,39319.0,0.0,0.0,0.0,1.0
movie,7.9,67614.0,1.0,0.0,0.0,0.0
tvSeries,6.8,4087.0,0.0,0.0,0.0,1.0
movie,6.5,64810.0,1.0,0.0,0.0,0.0
movie,6.7,16600.0,1.0,0.0,0.0,0.0
movie,7.3,7206.0,1.0,0.0,0.0,0.0
movie,7.7,40670.0,1.0,0.0,0.0,0.0
tvSeries,7.2,15988.0,0.0,0.0,0.0,1.0
tvSeries,6.9,16879.0,0.0,0.0,0.0,1.0
tvSeries,7.7,52627.0,0.0,0.0,0.0,1.0
tvSeries,7.4,3975.0,0.0,0.0,0.0,1.0
tvSeries,7.6,12576.0,0.0,0.0,0.0,1.0
tvSeries,7.5,26292.0,0.0,0.0,0.0,1.0
tvSeries,7.7,43857.0,0.0,0.0,0.0,1.0
movie,7.0,47617.0,1.0,0.0,0.0,0.0
movie,7.0,51306.0,1.0,0.0,0.0,0.0
movie,8.8,5250.0,1.0,0.0,0.0,0.0
tvSeries,7.0,19311.0,0.0,0.0,0.0,1.0
tvSeries,7.4,76087.0,0.0,0.0,0.0,1.0
tvSeries,6.7,5725.0,0.0,0.0,0.0,1.0
movie,8.6,3393.0,1.0,0.0,0.0,0.0
tvSeries,7.4,40073.0,0.0,0.0,0.0,1.0
movie,8.4,3018.0,1.0,0.0,0.0,0.0
tvSeries,7.0,27376.0,0.0,0.0,0.0,1.0
tvSeries,6.5,3482.0,0.0,0.0,0.0,1.0
movie,7.6,12176.0,1.0,0.0,0.0,0.0
movie,6.8,6173.0,1.0,0.0,0.0,0.0
movie,6.5,9491.0,1.0,0.0,0.0,0.0
tvSeries,6.5,26984.0,0.0,0.0,0.0,1.0
movie,7.2,5910.0,1.0,0.0,0.0,0.0
movie,8.1,6544.0,1.0,0.0,0.0,0.0
tvSeries,7.2,6401.0,0.0,0.0,0.0,1.0
movie,7.2,17560.0,1.0,0.0,0.0,0.0
movie,6.5,6707.0,1.0,0.0,0.0,0.0
tvSeries,8.1,54377.0,0.0,0.0,0.0,1.0
movie,8.0,4919.0,1.0,0.0,0.0,0.0
movie,7.1,50603.0,1.0,0.0,0.0,0.0
movie,7.5,104552.0,1.0,0.0,0.0,0.0
tvSeries,6.5,13803.0,0.0,0.0,0.0,1.0
tvSeries,8.1,39315.0,0.0,0.0,0.0,1.0
movie,6.5,131197.0,1.0,0.0,0.0,0.0
movie,6.6,11663.0,1.0,0.0,0.0,0.0
movie,6.6,5568.0,1.0,0.0,0.0,0.0
movie,6.7,81577.0,1.0,0.0,0.0,0.0
movie,8.2,37127.0,1.0,0.0,0.0,0.0
tvSeries,7.7,8348.0,0.0,0.0,0.0,1.0
tvSeries,8.0,10662.0,0.0,0.0,0.0,1.0
tvSeries,7.7,9706.0,0.0,0.0,0.0,1.0
movie,7.6,12027.0,1.0,0.0,0.0,0.0
movie,7.1,9649.0,1.0,0.0,0.0,0.0
tvSeries,8.7,122636.0,0.0,0.0,0.0,1.0
movie,7.2,10679.0,1.0,0.0,0.0,0.0
movie,7.6,12730.0,1.0,0.0,0.0,0.0
tvSeries,6.9,14595.0,0.0,0.0,0.0,1.0
tvSeries,8.1,56093.0,0.0,0.0,0.0,1.0
tvSeries,7.1,15027.0,0.0,0.0,0.0,1.0
tvSeries,7.6,7038.0,0.0,0.0,0.0,1.0
tvSeries,6.9,3253.0,0.0,0.0,0.0,1.0
tvSeries,8.2,24619.0,0.0,0.0,0.0,1.0
tvSeries,8.3,116915.0,0.0,0.0,0.0,1.0
movie,7.0,4091.0,1.0,0.0,0.0,0.0
tvSeries,7.3,5229.0,0.0,0.0,0.0,1.0
movie,7.1,5337.0,1.0,0.0,0.0,0.0
movie,6.7,20997.0,1.0,0.0,0.0,0.0
tvSeries,6.7,4226.0,0.0,0.0,0.0,1.0
tvSeries,7.5,16095.0,0.0,0.0,0.0,1.0
tvSeries,6.7,84835.0,0.0,0.0,0.0,1.0
tvSeries,8.6,43384.0,0.0,0.0,0.0,1.0
movie,7.5,116642.0,1.0,0.0,0.0,0.0
movie,7.8,18727.0,1.0,0.0,0.0,0.0
tvMiniSeries,6.6,4057.0,0.0,1.0,0.0,0.0
